"Table 6. mRNA relative abundances in M9 + glucose and LB media"				
				
"This table contains the relative abundances for individual mRNAs in M9 + glucose"				
"and LB media. Relative abundances were determined by using mRNA harvested from"				
"cultures grown at 30ºC to OD600 = 0.8 as described in Materials and Methods. "				
"The data in this file were used as source data for Fig. 3A."				
				
			"Relative abundance "	"Relative abundance "
"B1363"	"trkG"	"trkG trk system potassium uptake; part of Rac prophage "		
"B1365"	"B1365"	"B1365 orf, hypothetical protein "		
"B1367"	"B1367"	"B1367 orf, hypothetical protein "		
"B1370"	"trs5_5"	"trs5_5 IS5 transposase "	-0.784	-0.644
"B1371"	"B1371"	"B1371 orf, hypothetical protein "	-1.99	
"B1372"	"B1372"	"B1372 putative membrane protein "		-1.113
"B1374"	"B1374"	"B1374 putative transposon resolvase "		-0.652
"B1376"	"ynaF"	"ynaF putative filament protein "	1.999	1.123
"B1378"	"ydbK"	"ydbK putative oxidoreductase, Fe-S subunit "	0.335	-0.195
"B1379"	"hslJ"	"hslJ heat shock protein hslJ "	-0.447	1.058
"B1380"	"ldhA"	"ldhA fermentative D-lactate dehydrogenase, NAD-dependent "	-0.147	0.992
"B1381"	"ydbH"	"ydbH orf, hypothetical protein "		-1.044
"B1383"	"ydbL"	"ydbL orf, hypothetical protein "		-0.325
"B1384"	"feaR"	"feaR regulatory protein for 2-phenylethylamine catabolism "		
"B1385"	"feaB"	"feaB phenylacetaldehyde dehydrogenase "		-1.076
"B1387"	"maoC"	"maoC putative aldehyde dehydrogenase "		
"B1389"	"ynbF"	"ynbF orf, hypothetical protein "		
"B1390"	"ydbP"	"ydbP orf, hypothetical protein "		
"B1392"	"B1392"	"B1392 putative oxidoreductase "		
"B1393"	"ydbS"	"ydbS putative enzyme "		
"B1394"	"B1394"	"B1394 putative enzyme "		
"B1397"	"B1397"	"B1397 putative acyltransferase "		
"B1398"	"B1398"	"B1398 orf, hypothetical protein "		
"B1400"	"B1400"	"B1400 putative transferase "		
"B1402"	"yi22_2"	"yi22_2 IS2 hypothetical protein "	-3.077	-1.757
"B1403"	"yi21_2"	"yi21_2 IS2 hypothetical protein "	-2.442	-0.965
"B1404"	"tra8_2"	"tra8_2 IS30 transposase "	-2.095	-1.528
"B1405"	"ydbA_2"	"ydbA_2 split orf "		
"B1406"	"ydbC"	"ydbC putative dehydrogenase "		
"B1409"	"B1409"	"B1409 putative phosphatidate cytidiltransferase "		-1.154
"B1411"	"ynbD"	"ynbD putative enzymes "	-1.358	0.37
"B1412"	"acpD"	"acpD acyl carrier protein phosphodiesterase "		0.663
"B1413"	"hrpA"	"hrpA helicase, ATP-dependent "		0.418
"B1414"	"ydcF"	"ydcF orf, hypothetical protein "	0.215	0.989
"B1415"	"aldA"	"aldA aldehyde dehydrogenase, NAD-linked "	2.648	-0.367
"B1416"	"gapC_2"	"gapC_2 glyceraldehyde-3-phosphate dehydrogenase (second fragment) "	1.572	1.335
"B1417"	"gapC_1"	"gapC_1 glyceraldehyde 3-phosphate dehydrogenase C, interrupted "	0.725	3.145
"B1418"	"cybB"	"cybB cytochrome b(561) "	-0.767	1.346
"B1421"	"trg"	"trg methyl-accepting chemotaxis protein III, ribose sensor receptor "	-1.514	-1.15
"B1422"	"B1422"	"B1422 putative transcriptional regulator LYSR-type "	2.387	0.954
"B1423"	"B1423"	"B1423 orf, hypothetical protein "	-0.125	-0.805
"B1424"	"ydcG"	"ydcG putative glycoprotein "		-0.576
"B1427"	"rimL"	"rimL acetylation of N-terminal serine of 30S ribosomal subunit protein L7; acetyl transferase "	0.02	0.261
"B1428"	"B1428"	"B1428 orf, hypothetical protein "		0.673
"B1429"	"tehA"	"tehA tellurite resistance "		-0.144
"B1430"	"tehB"	"tehB tellurite resistance "		0.314
"B1431"	"B1431"	"B1431 orf, hypothetical protein "	-0.08	2.092
"B1432"	"B1432"	"B1432 putative virulence protein "		-0.341
"B1433"	"B1433"	"B1433 putative membrane transport protein "		-0.763
"B1434"	"ydcN"	"ydcN orf, hypothetical protein "		-0.411
"B1435"	"ydcP"	"ydcP putative collagenase "	-1.333	-1.133
"B1437"	"B1437"	"B1437 orf, hypothetical protein "		0.358
"B1438"	"B1438"	"B1438 orf, hypothetical protein "		-0.159
"B1439"	"B1439"	"B1439 multi modular; putative transcriptional regulator; also putative ATP-binding component of a transport system "	0.13	0.954
"B1440"	"B1440"	"B1440 putative transport protein "	0.331	-0.351
"B1441"	"B1441"	"B1441 putative ATP-binding component of a transport system "		
"B1442"	"B1442"	"B1442 putative transport system permease protein "		
"B1443"	"B1443"	"B1443 putative transport system permease protein "		0.589
"B1444"	"B1444"	"B1444 putative aldehyde dehydrogenase "	-1.073	-0.161
"B1445"	"B1445"	"B1445 orf, hypothetical protein "		
"B1446"	"B1446"	"B1446 orf, hypothetical protein "	0.372	1.352
"B1447"	"B1447"	"B1447 orf, hypothetical protein "		1.422
"B1448"	"B1448"	"B1448 putative resistance protein "	-1.633	1.11
"B1449"	"yncB"	"yncB putative oxidoreductase "	-0.813	0.912
"B1450"	"B1450"	"B1450 orf, hypothetical protein "	-0.138	0.136
"B1451"	"B1451"	"B1451 putative outer membrane receptor for iron transport "	-0.742	0.086
"B1452"	"B1452"	"B1452 putative receptor "	1.174	2.717
"B1453"	"ansP"	"ansP L-asparagine permease "		-0.675
"B1454"	"B1454"	"B1454 putative transferase "		-0.158
"B1456"	"rhsE"	"rhsE rhsE protein in rhs element "		-1.55
"B1460"	"ydcC"	"ydcC putative receptor "		-2.113
"B1461"	"ydcE"	"ydcE orf, hypothetical protein "	-0.127	1.45
"B1462"	"B1462"	"B1462 orf, hypothetical protein "		-0.468
"B1463"	"B1463"	"B1463 putative N-hydroxyarylamine O-acetyltransferase "	-0.417	-0.155
"B1464"	"yddE"	"yddE orf, hypothetical protein "	-1.164	-0.259
"B1465"	"narV"	"narV cryptic nitrate reductase 2, gamma subunit "		
"B1467"	"narY"	"narY cryptic nitrate reductase 2, beta subunit "		
"B1469"	"narU"	"narU nitrite extrusion protein 2 "		0.281
"B1474"	"fdnG"	"fdnG formate dehydrogenase-N, nitrate-inducible, alpha subunit "	-1.113	-0.728
"B1476"	"fdnI"	"fdnI formate dehydrogenase-N, nitrate-inducible, cytochrome B556(Fdn) gamma subunit "		-0.464
"B1477"	"yddM"	"yddM orf, hypothetical protein "		0.797
"B1478"	"adhP"	"adhP alcohol dehydrogenase "	-0.812	2.302
"B1479"	"sfcA"	"sfcA NAD-linked malate dehydrogenase (malic enzyme) "	2.591	1.031
"B1480"	"rpsV"	"rpsV 30S ribosomal subunit protein S22 "	5.638	
"B1481"	"B1481"	"B1481 orf, hypothetical protein "		1.283
"B1482"	"osmC"	"osmC osmotically inducible protein "	0.291	4.456
"B1483"	"B1483"	"B1483 putative ATP-binding component of a transport system "		0.606
"B1484"	"B1484"	"B1484 putative ATP-binding component of a transport system "		-1.133
"B1485"	"B1485"	"B1485 putative transport protein "		-0.908
"B1486"	"B1486"	"B1486 putative transport system permease protein "		-1.086
"B1488"	"B1488"	"B1488 orf, hypothetical protein "		
"B1489"	"B1489"	"B1489 putative enzyme "		-0.219
"B1490"	"B1490"	"B1490 orf, hypothetical protein "		0.994
"B1491"	"B1491"	"B1491 orf, hypothetical protein "	-1.598	0.13
"B1492"	"xasA"	"xasA acid sensitivity protein, putative transporter "		2.737
"B1493"	"gadB"	"gadB glutamate decarboxylase isozyme "		3.367
"B1497"	"B1497"	"B1497 putative enzyme "		
"B1498"	"B1498"	"B1498 putative sulfatase "	-0.973	
"B1501"	"B1501"	"B1501 putative oxidoreductase, major subunit "		-1.496
"B1506"	"B1506"	"B1506 orf, hypothetical protein "		0.849
"B1507"	"hipA"	"hipA persistence to inhibition of murein or DNA biosynthesis, DNA-binding regulator "	-1.515	
"B1509"	"B1509"	"B1509 putative ATP-binding component of a transport system and adhesin protein "	-1.855	-1.772
"B1510"	"ydeK"	"ydeK orf, hypothetical protein "		-0.137
"B1511"	"ydeV"	"ydeV putative kinase "		
"B1512"	"ydeW"	"ydeW putative transcriptional regulator, sorC family "		
"B1513"	"B1513"	"B1513 putative ATP-binding component of a transport system "		-0.257
"B1514"	"ydeY"	"ydeY putative transport system permease protein "		0.341
"B1515"	"ydeZ"	"ydeZ putative transport system permease protein "		-0.28
"B1516"	"B1516"	"B1516 putative LACI-type transcriptional regulator "		
"B1517"	"yneB"	"yneB orf, hypothetical protein "		-0.945
"B1519"	"B1519"	"B1519 putative enzyme "		
"B1520"	"B1520"	"B1520 orf, hypothetical protein "		-0.435
"B1521"	"uxaB"	"uxaB altronate oxidoreductase "		-1.462
"B1522"	"B1522"	"B1522 orf, hypothetical protein "		-1.029
"B1524"	"yneH"	"yneH putative glutaminase "		-0.425
"B1525"	"B1525"	"B1525 putative aldehyde dehydrogenase "	-1.942	-0.814
"B1526"	"yneJ"	"yneJ putative transcriptional regulator LYSR-type "		-0.148
"B1528"	"ydeA"	"ydeA putative resistance / regulatory protein "		-0.316
"B1529"	"ydeB"	"ydeB orf, hypothetical protein "		0.188
"B1530"	"marR"	"marR multiple antibiotic resistance protein; repressor of mar operon "		
"B1531"	"marA"	"marA multiple antibiotic resistance; transcriptional activator of defense systems "	-0.446	
"B1532"	"marB"	"marB multiple antibiotic resistance protein "		0.854
"B1533"	"ydeD"	"ydeD orf, hypothetical protein "	-1.386	1.085
"B1534"	"ydeF"	"ydeF putative transport protein "	-1.331	0.378
"B1535"	"ydeH"	"ydeH orf, hypothetical protein "	-1.17	-0.021
"B1536"	"ydeI"	"ydeI orf, hypothetical protein "		1.03
"B1537"	"ydeJ"	"ydeJ orf, hypothetical protein "		-1.001
"B1538"	"dcp"	"dcp dipeptidyl carboxypeptidase II "	-0.141	1.115
"B1539"	"ydfG"	"ydfG putative oxidoreductase "	1.582	1.538
"B1540"	"ydfH"	"ydfH orf, hypothetical protein "	0.312	0.079
"B1542"	"ydfI"	"ydfI putative oxidoreductase "		
"B1544"	"ydfK"	"ydfK orf, hypothetical protein "	-2.041	-0.198
"B1545"	"B1545"	"B1545 orf, hypothetical protein "		-0.543
"B1546"	"ydfM"	"ydfM orf, hypothetical protein "		-1.589
"B1547"	"B1547"	"B1547 orf, hypothetical protein "		
"B1548"	"nohA"	"nohA homolog of Qin prophage packaging protein NU1 "		-0.614
"B1556"	"B1556"	"B1556 orf, hypothetical protein "	-1.448	-1.301
"B1558"	"cspF"	"cspF cold shock protein "	-0.329	
"B1559"	"B1559"	"B1559 orf, hypothetical protein "		-0.306
"B1560"	"B1560"	"B1560 orf, hypothetical protein "		
"B1563"	"relE"	"relE orf, hypothetical protein "		-0.04
"B1564"	"relB"	"relB negative regulator of translation "		0.315
"B1565"	"B1565"	"B1565 orf, hypothetical protein "		
"B1566"	"flxA"	"flxA orf, hypothetical protein "	-0.813	
"B1567"	"B1567"	"B1567 orf, hypothetical protein "		-0.6
"B1570"	"dicA"	"dicA regulator of dicB "	0.712	1.634
"B1577"	"ydfE"	"ydfE orf, hypothetical protein "		
"B1578"	"B1578"	"B1578 orf, hypothetical protein "		
"B1581"	"rspA"	"rspA starvation sensing protein "		-1.628
"B1582"	"B1582"	"B1582 orf, hypothetical protein "	0.14	1.921
"B1583"	"B1583"	"B1583 orf, hypothetical protein "	1.728	1.875
"B1584"	"speG"	"speG spermidine N1-acetyltransferase "	0.35	0.435
"B1585"	"ynfC"	"ynfC orf, hypothetical protein "	-0.715	-0.32
"B1586"	"B1586"	"B1586 orf, hypothetical protein "	-0.984	-0.098
"B1587"	"B1587"	"B1587 putative oxidoreductase, major subunit "		
"B1589"	"B1589"	"B1589 putative oxidoreductase, Fe-S subunit "		-0.126
"B1592"	"B1592"	"B1592 putative chloride channel "		-0.634
"B1593"	"B1593"	"B1593 orf, hypothetical protein "		0.41
"B1594"	"mlc"	"mlc putative NAGC-like transcriptional regulator "	-0.658	-0.289
"B1595"	"ynfL"	"ynfL putative transcriptional regulator LYSR-type "		0.69
"B1596"	"ynfM"	"ynfM putative transport protein "		-0.892
"B1597"	"asr"	"asr acid shock protein "		-0.21
"B1598"	"B1598"	"B1598 orf, hypothetical protein "	-0.82	0.563
"B1599"	"B1599"	"B1599 possible chaperone "		-0.533
"B1600"	"B1600"	"B1600 possible chaperone "	-1.075	1.344
"B1602"	"pntB"	"pntB pyridine nucleotide transhydrogenase, beta subunit "		0.836
"B1603"	"pntA"	"pntA pyridine nucleotide transhydrogenase, alpha subunit "		1.353
"B1604"	"B1604"	"B1604 orf, hypothetical protein "	1.701	1.981
"B1606"	"ydgB"	"ydgB putative oxidoreductase "		0.25
"B1607"	"ydgC"	"ydgC orf, hypothetical protein "	-1.001	0.717
"B1608"	"rstA"	"rstA response transcriptional regulatory protein (RstB sensor) "	-0.465	0.708
"B1609"	"rstB"	"rstB sensor histidine protein kinase (RstA regulator) "		
"B1610"	"tus"	"tus DNA-binding protein; inhibition of replication at Ter sites "	-0.985	
"B1611"	"fumC"	"fumC fumarase C= fumarate hydratase Class II; isozyme "	2.567	-0.343
"B1612"	"fumA"	"fumA fumarase A = fumarate hydratase Class I; aerobic isozyme "	2.886	
"B1613"	"manA"	"manA mannose-6-phosphate isomerase "	-0.264	0.506
"B1614"	"ydgA"	"ydgA orf, hypothetical protein "	0.839	1.925
"B1616"	"uidB"	"uidB glucuronide permease "		
"B1617"	"uidA"	"uidA Beta-D-glucuronidase "		
"B1618"	"uidR"	"uidR repressor for uid operon "	-1.392	-0.088
"B1619"	"hdhA"	"hdhA NAD-dependent 7alpha-hydroxysteroid dehydrogenase, dehydroxylation of bile acids "		1.704
"B1620"	"malI"	"malI repressor of malX and Y genes "		-0.998
"B1621"	"malX"	"malX PTS system, maltose and glucose-specific II ABC "		-0.562
"B1622"	"malY"	"malY enzyme that may degrade or block biosynthesis of endogenous mal inducer, probably aminotrasferase "	-1.63	0.226
"B1623"	"add"	"add adenosine deaminase "	0.604	-0.32
"B1624"	"B1624"	"B1624 orf, hypothetical protein "	-0.225	1.281
"B1625"	"B1625"	"B1625 orf, hypothetical protein "		-0.339
"B1626"	"B1626"	"B1626 orf, hypothetical protein "	-0.774	0.52
"B1627"	"B1627"	"B1627 orf, hypothetical protein "		-0.461
"B1628"	"B1628"	"B1628 orf, hypothetical protein "		
"B1629"	"B1629"	"B1629 putative membrane protein "	-1.56	-0.339
"B1630"	"ydgO"	"ydgO orf, hypothetical protein "	-1.413	1.015
"B1631"	"B1631"	"B1631 orf, hypothetical protein "		
"B1632"	"ydgQ"	"ydgQ orf, hypothetical protein "		
"B1633"	"nth"	"nth endonuclease III; specific for apurinic and/or apyrimidinic sites "		
"B1634"	"ydgR"	"ydgR putative transport protein "	-0.206	-0.823
"B1635"	"gst"	"gst glutathionine S-transferase "	0.73	2.344
"B1636"	"pdxY"	"pdxY pyridoxal kinase 2 / pyridoxine kinase "		0.416
"B1637"	"tyrS"	"tyrS tyrosine tRNA synthetase "	-0.029	0.99
"B1638"	"pdxH"	"pdxH pyridoxinephosphate oxidase "	-0.741	0.647
"B1640"	"B1640"	"B1640 orf, hypothetical protein "		0.789
"B1641"	"slyB"	"slyB putative outer membrane protein "	2.525	2.848
"B1642"	"slyA"	"slyA transcriptional regulator for cryptic hemolysin "	0.258	1.209
"B1644"	"B1644"	"B1644 putative membrane protein "		
"B1645"	"B1645"	"B1645 orf, hypothetical protein "		-1.016
"B1646"	"sodC"	"sodC superoxide dismutase precursor (Cu-Zn) "	-0.795	2.013
"B1647"	"B1647"	"B1647 orf, hypothetical protein "	-0.636	0.646
"B1648"	"B1648"	"B1648 orf, hypothetical protein "		0.109
"B1651"	"gloA"	"gloA lactoylglutathione lyase "	1.146	2.679
"B1652"	"rnt"	"rnt RNase T, degrades tRNA "		-0.121
"B1653"	"lhr"	"lhr member of ATP-dependent helicase superfamily II "		-0.682
"B1654"	"ydhD"	"ydhD orf, hypothetical protein "	2.801	1.346
"B1655"	"ydhO"	"ydhO putative lipoprotein "	1.461	0.154
"B1656"	"sodB"	"sodB superoxide dismutase, iron "	3.293	-0.952
"B1657"	"B1657"	"B1657 putative transport protein "		-0.905
"B1658"	"purR"	"purR transcriptional repressor for pur regulon, glyA, glnB, prsA, speA "		0.958
"B1659"	"ydhB"	"ydhB putative transcriptional regulator LYSR-type "		-0.482
"B1660"	"ydhC"	"ydhC putative transport protein "		0.106
"B1661"	"cfa"	"cfa cyclopropane fatty acyl phospholipid synthase "	0.401	3.395
"B1662"	"ribE"	"ribE riboflavin synthase, alpha chain "	-0.798	0.36
"B1663"	"ydhE"	"ydhE putative transport protein "		-0.214
"B1664"	"B1664"	"B1664 possible enzyme "	0.761	1.608
"B1667"	"B1667"	"B1667 orf, hypothetical protein "	0.769	1.855
"B1668"	"B1668"	"B1668 orf, hypothetical protein "		0.25
"B1669"	"B1669"	"B1669 orf, hypothetical protein "		-0.995
"B1672"	"B1672"	"B1672 orf, hypothetical protein "		0.831
"B1674"	"B1674"	"B1674 putative oxidoreductase, Fe-S subunit "		
"B1675"	"B1675"	"B1675 orf, hypothetical protein "		0.162
"B1677"	"lpp"	"lpp murein lipoprotein "	5.583	5.752
"B1678"	"ynhG"	"ynhG orf, hypothetical protein "	-0.959	1.703
"B1679"	"ynhA"	"ynhA orf, hypothetical protein "		1.833
"B1680"	"B1680"	"B1680 orf, hypothetical protein "		2.498
"B1681"	"ynhC"	"ynhC orf, hypothetical protein "		2.333
"B1682"	"ynhD"	"ynhD putative ATP-binding component of a transport system "		2.465
"B1683"	"ynhE"	"ynhE orf, hypothetical protein "	-1.254	3.069
"B1684"	"ydiC"	"ydiC orf, hypothetical protein "		2.644
"B1685"	"B1685"	"B1685 orf, hypothetical protein "	0.472	5.27
"B1686"	"B1686"	"B1686 orf, hypothetical protein "		0.854
"B1687"	"ydiJ"	"ydiJ putative oxidase "	-1.952	0.814
"B1688"	"B1688"	"B1688 orf, hypothetical protein "		0.501
"B1691"	"B1691"	"B1691 putative amino acid/amine transport protein "		-0.723
"B1692"	"ydiB"	"ydiB putative oxidoreductase "		
"B1693"	"aroD"	"aroD 3-dehydroquinate dehydratase "		0.875
"B1694"	"ydiF"	"ydiF putative enzyme "		-0.771
"B1695"	"B1695"	"B1695 putative oxidoreductase "		-0.015
"B1696"	"B1696"	"B1696 putative ARAC-type regulatory protein "		
"B1697"	"ydiQ"	"ydiQ putative transport protein "		-0.994
"B1699"	"ydiS"	"ydiS flavoprotein; probably electron transport "		-0.677
"B1701"	"ydiD"	"ydiD putative ligase/synthetase "		
"B1702"	"ppsA"	"ppsA phosphoenolpyruvate synthase "	3.277	-0.347
"B1703"	"ydiA"	"ydiA orf, hypothetical protein "	1.27	0.408
"B1704"	"aroH"	"aroH 3-deoxy-D-arabinoheptulosonate-7-phosphate synthase (DAHP synthetase, tryptophan repressible) "	-0.526	1.132
"B1705"	"ydiE"	"ydiE orf, hypothetical protein "		0.828
"B1706"	"B1706"	"B1706 orf, hypothetical protein "	0.409	1.754
"B1707"	"B1707"	"B1707 orf, hypothetical protein "		-0.442
"B1708"	"nlpC"	"nlpC lipoprotein "		0.35
"B1709"	"BtuD"	"BtuD ATP-binding component of vitamin B12 transport system "		0.762
"B1710"	"BtuE"	"BtuE vitamin B12 transport "	0.012	1.755
"B1711"	"BtuC"	"BtuC vitamin B12 transport permease protein "		-0.204
"B1712"	"himA"	"himA integration host factor (IHF), alpha subunit; site specific recombination "	1.11	3.196
"B1713"	"pheT"	"pheT phenylalanine tRNA synthetase, beta-subunit "	0.274	2.346
"B1714"	"pheS"	"pheS phenylalanine tRNA synthetase, alpha-subunit "	0.799	2.563
"B1716"	"rplT"	"rplT 50S ribosomal subunit protein L20, and regulator "	1.63	2.506
"B1717"	"rpmI"	"rpmI 50S ribosomal subunit protein A "	2.495	3.654
"B1718"	"infC"	"infC protein chain initiation factor IF-3 "	2.637	3.435
"B1719"	"thrS"	"thrS threonine tRNA synthetase "	2.701	2.47
"B1720"	"B1720"	"B1720 orf, hypothetical protein "		-0.404
"B1722"	"B1722"	"B1722 orf, hypothetical protein "		-0.323
"B1723"	"pfkB"	"pfkB 6-phosphofructokinase II; suppressor of pfkA "	0.036	1.723
"B1724"	"B1724"	"B1724 orf, hypothetical protein "	1.414	3.241
"B1725"	"B1725"	"B1725 orf, hypothetical protein "		1.7
"B1726"	"B1726"	"B1726 orf, hypothetical protein "	-0.561	0.951
"B1727"	"yniC"	"yniC putative phosphatase "		0.327
"B1728"	"B1728"	"B1728 orf, hypothetical protein "		-1.057
"B1729"	"B1729"	"B1729 part of a kinase "		0.305
"B1731"	"B1731"	"B1731 orf, hypothetical protein "		0.844
"B1732"	"katE"	"katE catalase; hydroperoxidase HPII(III) "	-0.356	2.085
"B1734"	"celF"	"celF phospho-beta-glucosidase; cryptic "		
"B1735"	"celD"	"celD negative transcriptional regulator of cel operon "		
"B1737"	"celB"	"celB PEP-dependent phosphotransferase enzyme II for cellobiose, arbutin, and salicin "		0.55
"B1738"	"celA"	"celA PEP-dependent phosphotransferase enzyme IV for cellobiose, arbutin, and salicin "		-0.448
"B1739"	"osmE"	"osmE activator of ntrL gene "	1.975	3.376
"B1741"	"B1741"	"B1741 putative excinuclease subunit "	-0.604	1.034
"B1742"	"B1742"	"B1742 orf, hypothetical protein "		-0.536
"B1743"	"spy"	"spy periplasmic protein related to spheroblast formation "		-0.32
"B1745"	"B1745"	"B1745 orf, hypothetical protein "	-0.976	0.069
"B1746"	"B1746"	"B1746 putative aldehyde dehydrogenase "	-0.866	-0.023
"B1747"	"B1747"	"B1747 orf, hypothetical protein "	1.237	-1.012
"B1748"	"cstC"	"cstC acetylornithine delta-aminotransferase "	1.255	-1.153
"B1749"	"xthA"	"xthA exonuclease III "	-0.173	-0.149
"B1750"	"ydjX"	"ydjX orf, hypothetical protein "		
"B1751"	"ydjY"	"ydjY orf, hypothetical protein "		-1.746
"B1752"	"ydjZ"	"ydjZ orf, hypothetical protein "		
"B1754"	"B1754"	"B1754 orf, hypothetical protein "		-0.566
"B1757"	"B1757"	"B1757 putative thiosulfate sulfur transferase "		
"B1758"	"B1758"	"B1758 putative cytochrome oxidase "		0.027
"B1761"	"gdhA"	"gdhA NADP-specific glutamate dehydrogenase "	-1.128	2.314
"B1762"	"B1762"	"B1762 orf, hypothetical protein "		-0.665
"B1763"	"topB"	"topB DNA topoisomerase III "	-1.153	0.074
"B1764"	"selD"	"selD selenophosphate synthase, H(2)Se added to acrylyl-tRNA "	0.44	0.953
"B1765"	"ydjA"	"ydjA orf, hypothetical protein "		1.338
"B1766"	"sppA"	"sppA protease IV, a signal peptide peptidase "	-1.193	0.24
"B1767"	"ansA"	"ansA cytoplasmic L-asparaginase I "	-1.219	0.721
"B1768"	"ydjB"	"ydjB orf, hypothetical protein "		0.046
"B1769"	"ydjE"	"ydjE putative transport protein "		
"B1770"	"B1770"	"B1770 putative DEOR-type transcriptional regulator "	-0.229	
"B1773"	"B1773"	"B1773 putative aldolase "		0.318
"B1775"	"B1775"	"B1775 putative transport protein "		
"B1776"	"B1776"	"B1776 putative oxidoreductase "		
"B1777"	"B1777"	"B1777 orf, hypothetical protein "	4.13	2
"B1778"	"yeaA"	"yeaA orf, hypothetical protein "	3.178	1.413
"B1779"	"gapA"	"gapA glyceraldehyde-3-phosphate dehydrogenase A "	4.855	5.28
"B1780"	"yeaD"	"yeaD orf, hypothetical protein "	1.316	1.06
"B1781"	"B1781"	"B1781 putative an aldehyde reductase "	-1.341	0.094
"B1782"	"yeaF"	"yeaF orf, hypothetical protein "	3.48	1.56
"B1783"	"yeaG"	"yeaG orf, hypothetical protein "	0.315	3.003
"B1784"	"yeaH"	"yeaH orf, hypothetical protein "	-0.679	2.74
