"Object ID"	"Polypeptides"	"Synonyms"	"Molecular-Weight-KiloDaltons"
"EG12861-MONOMER"	EG12861-MONOMER	"YecF"	8.239
"G7730-MONOMER"	G7730-MONOMER	"YhfU"	12.479
"G7555-MONOMER"	G7555-MONOMER	"YghW"	10.945
"EG11464-MONOMER"	EG11464-MONOMER	"YigF"	14.549
"G6563-MONOMER"	G6563-MONOMER	"YceQ"	12.1
"G7523-MONOMER"	G7523-MONOMER	"YqgD"	9.519
"G6229-MONOMER"	G6229-MONOMER	"YaiZ"	8.097
"EG11184-MONOMER"	EG11184-MONOMER	"YhhA"	16.624 // 19.5
"MONOMER0-2677"	MONOMER0-2677	"YecJ"	9.123
"G6555-MONOMER"	G6555-MONOMER	"YceO" // "small protein involved in biofilm formation and acid stress response"	5.897
"EG11310-MONOMER"	EG11310-MONOMER	"YdbD" // "protein involved in detoxification of methylglyoxal"	86.716
"G6231-MONOMER"	G6231-MONOMER	"YkiA"	12.96
"EG12446-MONOMER"	EG12446-MONOMER	"YfiL"	13.204
"EG11964-MONOMER"	EG11964-MONOMER	"YibL"	13.696
"G6459-MONOMER"	G6459-MONOMER	"YbjD" // "conserved protein with a nucleotide triphosphate hydrolase domain YbjD"	63.589
"G6184-MONOMER"	G6184-MONOMER	"YahE"	32.266
"G6289-MONOMER"	G6289-MONOMER	"YlbF"	29.597
"EG12171-MONOMER"	EG12171-MONOMER	"YjjH" // "YjjI"	58.02
"EG12273-MONOMER"	EG12273-MONOMER	"YiaF"	25.663
"EG12315-MONOMER"	EG12315-MONOMER	"YacH"	69.362
"EG12291-MONOMER"	EG12291-MONOMER	"YiaW"	12.409
"EG11765-MONOMER"	EG11765-MONOMER	"YibI"	13.866
"G6742-MONOMER"	G6742-MONOMER	"YdcL"	24.427
"G6979-MONOMER"	G6979-MONOMER	"YoaF"	8.942
"MONOMER0-2672"	MONOMER0-2672	"YdbJ"	8.696
"EG12336-MONOMER"	EG12336-MONOMER	"YaeH"	15.096
"EG11713-MONOMER"	EG11713-MONOMER	"YidR"	46.187
"G6450-MONOMER"	G6450-MONOMER	"YbjP"	18.991
"G7566-MONOMER"	G7566-MONOMER	"YqhF" // "YqhG"	34.983
"EG11860-MONOMER"	EG11860-MONOMER	"YiiG"	39.294
"EG10253-MONOMER"	EG10253-MONOMER	"EbgC" // "evolved &beta;-D-galactosidase subunit &beta;"	17.457
"G7675-MONOMER"	G7675-MONOMER	"YhcH"	17.038
"EG12280-MONOMER"	EG12280-MONOMER	"YiaL"	17.549
"G7883-MONOMER"	G7883-MONOMER	"YjgK" // "TabA"	16.865
"EG12225-MONOMER"	EG12225-MONOMER	"YhiJ"	61.164
"G7214-MONOMER"	G7214-MONOMER	"YfcZ"	10.318
"EG11876-MONOMER"	EG11876-MONOMER	"YiiS"	10.776
"EG11995-MONOMER"	EG11995-MONOMER	"YehI"	138.067
"G7354-MONOMER"	G7354-MONOMER	"YfiR" // "putative periplasmic protein involved in swarming motility"	18.978
"G7834-MONOMER"	G7834-MONOMER	"YjeI"	11.958
"EG11290-MONOMER"	EG11290-MONOMER	"YeiB"	43.394
"G6469-MONOMER"	G6469-MONOMER	"YcaP"	26.282
"G7722-MONOMER"	G7722-MONOMER	"YhfL"	5.819
"G6633-MONOMER"	G6633-MONOMER	"YciU"	12.687
"EG12448-MONOMER"	EG12448-MONOMER	"YbcH"	33.057
"G6970-MONOMER"	G6970-MONOMER	"YeaH"	49.392
"G7933-MONOMER"	G7933-MONOMER	"YjiN"	48.242
"G7450-MONOMER"	G7450-MONOMER	"YqcC"	12.787
"G6659-MONOMER"	G6659-MONOMER	"YcjX"	52.61
"EG11537-MONOMER"	EG11537-MONOMER	"YceH"	24.177
"EG11592-MONOMER"	EG11592-MONOMER	"YbeD"	9.827
"EG11605-MONOMER"	EG11605-MONOMER	"Smg"	18.51
"G7087-MONOMER"	G7087-MONOMER	"YeeX"	12.778
"G7343-MONOMER"	G7343-MONOMER	"YphG"	123.832
"EG10047-MONOMER"	EG10047-MONOMER	"ApaG"	13.867
"G6460-MONOMER"	G6460-MONOMER	"YbjX"	38.358
"G6766-MONOMER"	G6766-MONOMER	"YncH"	8.27
"G7534-MONOMER"	G7534-MONOMER	"YqgA"	24.614
"EG11410-MONOMER"	EG11410-MONOMER	"YjgA"	21.359
"EG12379-MONOMER"	EG12379-MONOMER	"YecE"	31.479
"EG11875-MONOMER"	EG11875-MONOMER	"YiiR"	16.542
"G7890-MONOMER"	G7890-MONOMER	"YjgR"	54.332
"B0899-MONOMER"	B0899-MONOMER	"YgaM"	11.847
"EG11125-MONOMER"	EG11125-MONOMER	"YciE"	18.961
"EG11126-MONOMER"	EG11126-MONOMER	"YciF"	18.597
"G7453-MONOMER"	G7453-MONOMER	"YgdI"	8.174
"G7461-MONOMER"	G7461-MONOMER	"YgdR"	7.877
"MONOMER0-2654"	MONOMER0-2654	"YkfH"	8.581
"G7693-MONOMER"	G7693-MONOMER	"YhdT"	9.098
"EG10608-MONOMER"	EG10608-MONOMER	"RodY" // "Mon" // "EnvB" // "MreB_1" // "MreB"	36.952 // 37.0
"EG10573-MONOMER"	EG10573-MONOMER	"RglA" // "McrA" // "restriction of DNA at 5-methylcytosine residues"	31.39
"EG10535-MONOMER"	EG10535-MONOMER	"Lit" // "Lit, cell death peptidase; phage exclusion"	33.762 // 34
"G6595-MONOMER"	G6595-MONOMER	"BeeE" // "YmfO"	17.609
"G6596-MONOMER"	G6596-MONOMER	"JayE" // "YmfP"	28.233
"G6597-MONOMER"	G6597-MONOMER	"YmfQ"	21.644
"G6593-MONOMER"	G6593-MONOMER	"AaaE" // "OweE" // "YmfN" // "e14 prophage; putative DNA-binding transcriptional regulator"	50.871
"EG12877-MONOMER"	EG12877-MONOMER	"StfP" // "YcfK"	22.02
"G6586-MONOMER"	G6586-MONOMER	"YmfH"	10.963
"G6587-MONOMER"	G6587-MONOMER	"YmfI"	12.883
"G6588-MONOMER"	G6588-MONOMER	"YmfJ"	11.458
"G6592-MONOMER"	G6592-MONOMER	"YmfM"	12.156
"G6594-MONOMER"	G6594-MONOMER	"YmfR"	6.381
"G6590-MONOMER"	G6590-MONOMER	"CroE" // "YmfT"	7.402
"G6585-MONOMER"	G6585-MONOMER	"YmfG" // "XisE"	9.287
"EG12370-MONOMER"	EG12370-MONOMER	"YcfI" // "IntE"	42.799
"G6589-MONOMER"	G6589-MONOMER	"CohE" // "YmfK"	25.095
"G6582-MONOMER"	G6582-MONOMER	"YmfD"	25.147
"G6599-MONOMER"	G6599-MONOMER	"YcfE" // "StfE"	19.284
"EG11120-MONOMER"	EG11120-MONOMER	"TfaE" // "YcfA"	21.662
"G6598-MONOMER"	G6598-MONOMER	"TfaP" // "YmfS"	15.434
"EG10737-MONOMER"	EG10737-MONOMER	"PinE" // "Pin"	20.573
"G6583-MONOMER"	G6583-MONOMER	"YmfE" // "e14 prophage; putative inner membrane protein"	27.579
"G6591-MONOMER"	G6591-MONOMER	"YmfL" // "e14 prophage; putative DNA-binding transcriptional regulator"	20.212
"G7201-MONOMER"	G7201-MONOMER	"EpmC" // "YfcM"	21.146
"EG11211-MONOMER"	EG11211-MONOMER	"EpmA" // "YjeA" // "GenX" // "PoxA"	36.976
"YCEE-MONOMER"	YCEE-MONOMER	"MdtG" // "YceE" // "MdtG drug MFS transporter" // "MdtG multidrug efflux pump"	43.867
"YIDY-MONOMER"	YIDY-MONOMER	"MdtL" // "YidY" // "YidY drug MFS transporter" // "MdtL multidrug efflux pump"	41.49
"EG10529-MONOMER"	EG10529-MONOMER	"LepA" // "EF4"	66.57 // 74
"EG10360-MONOMER"	EG10360-MONOMER	"Fus" // "Far" // "FusA" // "EF-G"	77.581
"EG12035-MONOMER"	EG12035-MONOMER	"YeiP"	21.533
"G7877-MONOMER"	G7877-MONOMER	"RidA" // "YjgF"	13.612
"EG12258-MONOMER"	EG12258-MONOMER	"BcsZ" // "YhjM" // "BcsC"	41.7 // 40
"EG11237-MONOMER"	EG11237-MONOMER	"ChiA" // "YheB"	97.057
"EG11494-MONOMER"	EG11494-MONOMER	"YceG"	38.247
"EG10662-MONOMER"	EG10662-MONOMER	"Nth" // "Endo III"	23.562 // 27.3
"EG10651-MONOMER"	EG10651-MONOMER	"Nfo"	31.479
"G6937-MONOMER"	G6937-MONOMER	"YdjQ" // "Cho" // "sosD"	33.739
"EG11915-MONOMER"	EG11915-MONOMER	"YjaF" // "Nfi" // "EndoV" // "deoxyinosine 3'-endonuclease"	24.673 // 25
"G6383-MONOMER"	G6383-MONOMER	"Nei"	29.845
"EG11650-MONOMER"	EG11650-MONOMER	"YafD"	29.992
"G6407-MONOMER"	G6407-MONOMER	"YbhP"	28.79
"EG12096-MONOMER"	EG12096-MONOMER	"YjfE" // "ChpB" // "ChpBK" // "ChpB toxin of the ChpB-ChpS toxin-antitoxin system"	12.492
"EG11249-MONOMER"	EG11249-MONOMER	"MazF" // "ChpA" // "ChpAK" // "MazF toxin of the MazF-MazE toxin-antitoxin system that exhibits ribonuclease activity"	12.098
"G6362-MONOMER"	G6362-MONOMER	"YbeY" // "endoribonuclease involved in maturation of 16S rRNA and ribosome quality control"	17.526
"YJJK-MONOMER"	YJJK-MONOMER	"YjjK" // "EttA"	62.443
"ENOLASE-MONOMER"	ENOLASE-MONOMER	"Eno"	45.655 // 46.0
"ENOYL-ACP-REDUCT-NADH-MONOMER"	ENOYL-ACP-REDUCT-NADH-MONOMER	"Gts" // "QmeA" // "EnvM" // "FabI"	27.864 // 33.0
"MONOMER0-1562"	MONOMER0-1562	"EcnA"	4.359
"FUC4NACTRANS-MONOMER"	FUC4NACTRANS-MONOMER	"RffT" // "WecF" // "WzyE"	51.517
"EG11295-MONOMER"	EG11295-MONOMER	"Wzz" // "YifC" // "WzzE"	39.489
"YBDA-MONOMER"	YBDA-MONOMER	"EntS" // "YbdA" // "P43"	43.282
"ENTB-MONOMER"	ENTB-MONOMER	"EntB" // "EntG"	32.554
"EG10299-MONOMER"	EG10299-MONOMER	"Fes"	45.652 // 44 // 43
"EG12166-MONOMER"	EG12166-MONOMER	"ElyC" // "YcbC"	28.666
"CRR-MONOMER"	CRR-MONOMER	"TreD" // "Tgs" // "Iex" // "Gsr" // "EIIA<sup>Glc</sup>" // "Enzyme III<sup>Glc</sup>" // "EIII<sup>Glc</sup>" // "IIIGlc" // "Enzyme IIA<sup>Glc</sup>; Crr"	18.251 // 20.0
"G7843-MONOMER"	G7843-MONOMER	"QueG" // "YjeS"	43.073
"ERYTHRON4PDEHYDROG-MONOMER"	ERYTHRON4PDEHYDROG-MONOMER	"PdxB"	41.368 // 42.0
"EG11776-MONOMER"	EG11776-MONOMER	"YbfF"	28.437
"G7296-MONOMER"	G7296-MONOMER	"YpfH"	24.855
"G7578-MONOMER"	G7578-MONOMER	"YzzI" // "YqiA"	21.641
"EG11110-MONOMER"	EG11110-MONOMER	"YbgC"	15.562 // 16
"ADHP-MONOMER"	ADHP-MONOMER	"YddN" // "AdhP"	35.38
"EUTB-MONOMER"	EUTB-MONOMER	"EutB"	49.403 // 49.0
"EUTC-MONOMER"	EUTC-MONOMER	"EutC"	31.782 // 32.0
"EG10252-MONOMER"	EG10252-MONOMER	"EbgA"	117.879
"EG11061-MONOMER"	EG11061-MONOMER	"Dar" // "DinE" // "UvrA"	103.867
"EG11062-MONOMER"	EG11062-MONOMER	"UvrB"	76.226
"EG11063-MONOMER"	EG11063-MONOMER	"UvrC"	68.188
"EG10926-MONOMER"	EG10926-MONOMER	"RmuA" // "XonA" // "CpeA" // "SbcB" // "ExoI" // "exonuclease I, 3' --> 5' specific; deoxyribophosphodiesterase"	54.501 // 53.7
"EG11073-MONOMER"	EG11073-MONOMER	"Xth" // "XthA"	30.969
"EG10824-MONOMER"	EG10824-MONOMER	"Ior" // "RorA" // "RecB"	133.959 // 135.0
"EG10825-MONOMER"	EG10825-MONOMER	"RecC"	128.847 // 125.0
"EG10826-MONOMER"	EG10826-MONOMER	"HopE" // "RecD"	66.902
"EG11072-MONOMER"	EG11072-MONOMER	"Xse" // "XseA" // "exonuclease VII, large subunit"	51.832 // 54
"EG11098-MONOMER"	EG11098-MONOMER	"YajE" // "XseB" // "exonuclease VII, small subunit"	8.952 // 10.5d0
"G7016-MONOMER"	G7016-MONOMER	"YobC" // "ExoX"	25.133
"PPX-MONOMER"	PPX-MONOMER	"Ppx"	58.136 // 57.0
"G7510-MONOMER"	G7510-MONOMER	"SdhE" // "YgfY" // "CptB" // "antitoxin of the CptA-CptB toxin-antitoxin system"	10.547
"G6896-MONOMER"	G6896-MONOMER	"YdhS"	60.755
"EG12073-MONOMER"	EG12073-MONOMER	"YojK" // "YojL" // "ApbE" // "Ftp" // "flavin transferase"	38.549
"ACYLCOASYN-MONOMER"	ACYLCOASYN-MONOMER	"OldD" // "FadD"	62.332 // 62
"EG10486-MONOMER"	EG10486-MONOMER	"HydF" // "HypD" // "HypD, scaffold protein for assembly of the Fe-(CN)<sub>2</sub>CO cofactor"	41.363 // 42.5
"G6909-MONOMER"	G6909-MONOMER	"YnhE" // "SufB" // "SufB component of SufBCD Fe-S cluster scaffold complex"	54.745
"G6908-MONOMER"	G6908-MONOMER	"YnhD" // "SufC" // "SufC component of SufBCD Fe-S cluster scaffold complex"	27.582 // 27.6
"G6907-MONOMER"	G6907-MONOMER	"YnhC" // "SufD" // "SufD component of SufBCD Fe-S cluster scaffold complex"	46.823
"FEOB-MONOMER"	FEOB-MONOMER	"FeoB" // "ferrous iron transporter"	84.474
"EG11091-MONOMER"	EG11091-MONOMER	"YafA" // "FrsA"	47.009 // 47
"EG12360-MONOMER"	EG12360-MONOMER	"YfaE" // "2Fe-2S cluster-containing protein involved in diferric-tyrosyl radical cofactor maintenance"	9.293 // 9.3
"NAPF-MONOMER"	NAPF-MONOMER	"YojG" // "NapF"	18.047
"NAPG-MONOMER"	NAPG-MONOMER	"YojB" // "YojA" // "NapG"	24.925
"NAPH-MONOMER"	NAPH-MONOMER	"YejZ" // "NapH"	31.873
"FECE-MONOMER"	FECE-MONOMER	"ferric dicitrate ABC transporter - ATP binding subunit"	28.191
"FECC-MONOMER"	FECC-MONOMER		34.893 // 32.0
"FECD-MONOMER"	FECD-MONOMER		34.131 // 29.5
"FECB-MONOMER"	FECB-MONOMER	"ferric dicitrate ABC transporter - periplasmic binding protein"	33.146 // 30.0
"EG10286-MONOMER"	EG10286-MONOMER	"FecA"	85.321
"EG10306-MONOMER"	EG10306-MONOMER	"FhuE" // "ferric coprogen outer membrane receptor"	81.232 // 76.0
"EG10155-MONOMER"	EG10155-MONOMER	"Cir" // "FeuA" // "CirA" // "colicin I receptor"	73.896
"FEPC-MONOMER"	FEPC-MONOMER		29.784 // 30.5
"FEPD-MONOMER"	FEPD-MONOMER	"FepD"	33.871
"FEPG-MONOMER"	FEPG-MONOMER		34.91
"FEPB-MONOMER"	FEPB-MONOMER		34.283 // 33.8
"EG10293-MONOMER"	EG10293-MONOMER	"Fep" // "Cbt" // "Cbr" // "FeuB" // "FepA"	82.107
"EG10302-MONOMER"	EG10302-MONOMER	"TonA" // "FhuA"	82.182
"EG10921-MONOMER"	EG10921-MONOMER	"RsgA" // "FtnA" // "Ftn"	19.424 // 19.4
"PROTOHEME-FERROCHELAT-MONOMER"	PROTOHEME-FERROCHELAT-MONOMER	"VisA" // "PopA" // "HemH"	35.884 // 35.0
"EG12101-MONOMER"	EG12101-MONOMER	"FeoA"	8.371
"EG12933-MONOMER"	EG12933-MONOMER	"YhgG" // "FeoC"	8.66
"G6527-MONOMER"	G6527-MONOMER	"YcdO" // "EfeO"	41.138
"G6161-MONOMER"	G6161-MONOMER	"MatE" // "YagW" // "EcpD"	59.997
"EG11678-MONOMER"	EG11678-MONOMER	"YadC"	44.899
"G6795-MONOMER"	G6795-MONOMER	"YdeT" // "fimbrial usher protein, C-terminal fragment"	41.616
"G7209-MONOMER"	G7209-MONOMER	"YfcU"	65.302
"G7865-MONOMER"	G7865-MONOMER	"YtfC" // "FklB" // "FKBP22"	22.216 // 22.0
"EG11663-MONOMER"	EG11663-MONOMER	"SlyD" // "WHP"	20.853 // 26.0
"G357-MONOMER"	G357-MONOMER	"FlaU" // "FlgA" // "flagellar biosynthesis; assembly of basal-body periplasmic P ring"	23.519 // 21
"FLIF-FLAGELLAR-MS-RING"	FLIF-FLAGELLAR-MS-RING	"FliF"	60.589
"EG11346-MONOMER"	EG11346-MONOMER	"Fla" // "FlaN" // "FliE"	11.127
"FLGB-FLAGELLAR-MOTOR-ROD-PROTEIN"	FLGB-FLAGELLAR-MOTOR-ROD-PROTEIN	"FlbA" // "FlgB"	15.24
"FLGC-FLAGELLAR-MOTOR-ROD-PROTEIN"	FLGC-FLAGELLAR-MOTOR-ROD-PROTEIN	"FlaW" // "FlgC"	13.968
"FLGF-FLAGELLAR-MOTOR-ROD-PROTEIN"	FLGF-FLAGELLAR-MOTOR-ROD-PROTEIN	"FlaX" // "FlgF"	25.912
"FLGG-FLAGELLAR-MOTOR-ROD-PROTEIN"	FLGG-FLAGELLAR-MOTOR-ROD-PROTEIN	"FlaL" // "FlgG"	27.744 // 27
"G6562-MONOMER"	G6562-MONOMER	"FlgN"	15.867
"G370-MONOMER"	G370-MONOMER	"FlaH" // "FlhA"	74.843
"G7028-MONOMER"	G7028-MONOMER	"YecQ" // "FlaG" // "FlhB"	42.238
"EG11656-MONOMER"	EG11656-MONOMER	"FliH"	25.05
"G378-MONOMER"	G378-MONOMER	"FlaO" // "FliJ"	17.307
"EG11224-MONOMER"	EG11224-MONOMER	"FlbD" // "FliO"	12.67 // 13
"EG11975-MONOMER"	EG11975-MONOMER	"FlaR" // "FliP"	26.928 // 25
"EG11976-MONOMER"	EG11976-MONOMER	"FlaQ" // "FliQ" // "flagellar biosynthetic protein FliQ"	9.632 // 10
"EG11977-MONOMER"	EG11977-MONOMER	"FlaP" // "FliR"	28.543
"EG11388-MONOMER"	EG11388-MONOMER	"FliS"	14.95
"EG11389-MONOMER"	EG11389-MONOMER	"FliT"	13.829
"G360-MONOMER"	G360-MONOMER	"FlaV" // "FlgD"	23.575 // 11
"G6623-MONOMER"	G6623-MONOMER	"YcgR" // "molecular brake that regulates flagellar motility in response to c-di-GMP"	27.857
"EG10841-MONOMER"	EG10841-MONOMER	"Rfs" // "FlbC" // "FliD" // "HAP2" // "hook-associated protein 2"	48.456
"EG10321-MONOMER"	EG10321-MONOMER	"Hag" // "FlaF" // "FliC" // "flagellin"	51.295
"G361-MONOMER"	G361-MONOMER	"FlaK" // "FlgE"	42.045 // 42
"EG11967-MONOMER"	EG11967-MONOMER	"FlaS" // "FlgK"	57.93 // 60
"EG11545-MONOMER"	EG11545-MONOMER	"FlaT" // "FlgL"	34.281 // 35
"G379-MONOMER"	G379-MONOMER	"FlaE" // "FliK"	39.312
"FLGH-FLAGELLAR-L-RING"	FLGH-FLAGELLAR-L-RING	"FlaY" // "FlgH"	24.615 // 26
"FLIG-FLAGELLAR-SWITCH-PROTEIN"	FLIG-FLAGELLAR-SWITCH-PROTEIN	"FliG"	36.776
"FLIM-FLAGELLAR-C-RING-SWITCH"	FLIM-FLAGELLAR-C-RING-SWITCH	"FlaA" // "Fla" // "FlaQ" // "FliM"	37.849
"FLIN-FLAGELLAR-C-RING-SWITCH"	FLIN-FLAGELLAR-C-RING-SWITCH	"MotD" // "FliN"	14.855
"FLGI-FLAGELLAR-P-RING"	FLGI-FLAGELLAR-P-RING	"FlaM" // "FlgI"	38.169 // 38
"G7027-MONOMER"	G7027-MONOMER	"FlhE"	14.059
"EG10322-MONOMER"	EG10322-MONOMER	"FliL"	17.221
"G6114-MONOMER"	G6114-MONOMER	"MbhA" // "LafU"	27.885
"G6113-MONOMER"	G6113-MONOMER	"FhiA" // "LfhA"	62.154
"G377-MONOMER"	G377-MONOMER	"Fla" // "FlaC" // "FliI"	49.316
"EG12372-MONOMER"	EG12372-MONOMER	"YgdG" // "ExoIX" // "Xni" // "Exo"	28.166 // 28
"UBIX-MONOMER"	UBIX-MONOMER	"DedF" // "UbiX" // "3-octaprenyl-4-hydroxybenzoate carboxy-lyase partner protein"	20.695 // 21
"FMNREDUCT-MONOMER"	FMNREDUCT-MONOMER	"FsrC" // "FlrD" // "FadI" // "Fre"	26.242 // 28.5
"G6518-MONOMER"	G6518-MONOMER	"YcdH" // "RutF"	17.749
"G6769-MONOMER"	G6769-MONOMER	"YddH"	20.967
"FLAVODOXIN1-MONOMER"	FLAVODOXIN1-MONOMER	"FldA"	19.737
"FLAVODOXIN2-MONOMER"	FLAVODOXIN2-MONOMER	"FldB"	19.7
"FLAVONADPREDUCT-MONOMER"	FLAVONADPREDUCT-MONOMER	"FlxR" // "MvrA" // "Fpr" // "dA1"	27.751 // 27.5
"EG11199-MONOMER"	EG11199-MONOMER	"YieB" // "MioC" // "flavoprotein involved in biotin synthesis"	15.808 // 14.0
"G6731-MONOMER"	G6731-MONOMER	"AzoR" // "AcpD" // "FMN dependent azoreductase"	21.658 // 23.0
"YEEO-MONOMER"	YEEO-MONOMER	"YeeO"	60.061
"MONOMER-162"	MONOMER-162	"YcbN" // "SsuD"	41.736 // 41.2
"G7511-MONOMER"	G7511-MONOMER	"YzzW" // "YgfZ"	36.094
"MONOMER0-1661"	MONOMER0-1661		
"EG11910-MONOMER"	EG11910-MONOMER	"YijL" // "PflD" // "pyruvate formate-lyase 2"	85.96
"FOCA-MONOMER"	FOCA-MONOMER	"YcaE" // "FocA"	30.991 // 23.0
"EG10284-MONOMER"	EG10284-MONOMER	"FdhE"	34.747 // 32
"FORMATEDEHYDROGH-MONOMER"	FORMATEDEHYDROGH-MONOMER	"ChlF" // "FdhF" // "FDH-H"	79.374 // 80
"FDNG-MONOMER"	FDNG-MONOMER	"FdnG"	112.963 // 110.0
"FDNH-MONOMER"	FDNH-MONOMER	"FdnH"	32.239 // 32.0
"FDNI-MONOMER"	FDNI-MONOMER	"FdnI" // "formate dehydrogenase N cytochrome <i>b</i> subunit"	25.368 // 20.0
"FDOG-MONOMER"	FDOG-MONOMER	"FdoG"	112.549 // 100.0
"FDOH-MONOMER"	FDOH-MONOMER	"FdoH"	33.1 // 32.0
"FDOI-MONOMER"	FDOI-MONOMER	"FdoI" // "formate dehydrogenase O cytochrome <i>b</i> subunit"	24.606
"EG10481-MONOMER"	EG10481-MONOMER	"HevH" // "HycH"	15.465
"HYCELARGE-MONOMER"	HYCELARGE-MONOMER	"HevE" // "HycE" // "Ant-1" // "hydrogenase 3 large subunit"	64.98
"HYCG-MONOMER"	HYCG-MONOMER	"HevG" // "HycG" // "hydrogenase 3 small subunit"	27.999
"HYCBSMALL-MONOMER"	HYCBSMALL-MONOMER	"HevB" // "HycB" // "hydrogenase 3, Fe-S subunit HycB"	21.873
"HYCF-MONOMER"	HYCF-MONOMER	"HevF" // "HycF" // "hydrogenase 3, Fe-S subunit HycF"	20.309
"HYCC-MONOMER"	HYCC-MONOMER	"HevC" // "HycC" // "Ant-2" // "hydrogenase 3, membrane subunit HycC"	64.077
"HYCD-MONOMER"	HYCD-MONOMER	"HevD" // "HycD" // "Ant-3" // "Ant-5" // "hydrogenase 3 membrane subunit"	33.029
"G7237-MONOMER"	G7237-MONOMER	"YfdW" // "Frc"	45.828
"FORMYLTHFDEFORMYL-MONOMER"	FORMYLTHFDEFORMYL-MONOMER	"YchI" // "Tgs" // "PurU"	31.935 // 32
"FSR-MONOMER"	FSR-MONOMER	"Fsr"	43.306
"EG11653-MONOMER"	EG11653-MONOMER	"CyaY"	12.231
"G7005-MONOMER"	G7005-MONOMER	"MsrC" // "YebR" // "fRMsr"	18.122 // 18.0
"EG11245-MONOMER"	EG11245-MONOMER	"YggK" // "YggF"	34.323
"F16B-MONOMER"	F16B-MONOMER	"Fdp" // "Fbp" // "fructose-1,6-bisphosphatase I"	36.834 // 40
"EG11517-MONOMER"	EG11517-MONOMER	"GlpX" // "fructose 1,6-bisphosphatase II"	35.852 // 40.0
"G7408-MONOMER"	G7408-MONOMER	"YqaB"	20.78
"G6428-MONOMER"	G6428-MONOMER	"YbiZ" // "FsaA" // "MipB" // "Fsa"	22.997 // 24.0
"EG11905-MONOMER"	EG11905-MONOMER	"YijG" // "FsaB" // "TalC" // "FSA 2"	23.555
"FRUCBISALD-CLASSI-MONOMER"	FRUCBISALD-CLASSI-MONOMER	"DhnA" // "FbaB"	38.109 // 36.0
"FRUCTBISALD-CLASSII-MONOMER"	FRUCTBISALD-CLASSII-MONOMER	"Fda" // "Ald" // "FbaA" // "Fba"	39.147 // 40.0
"FRUA-MONOMER"	FRUA-MONOMER	"FruA" // "PtsF" // "Enzyme IIBC<sup>fru</sup>" // "EIIBC<sup>fru</sup>" // "EIIB'BC<sup>fru</sup>" // "Enzyme IIB'BC<sup>fru</sup>"	57.519
"FRUB-MONOMER"	FRUB-MONOMER	"FruB" // "Fpr" // "FruF" // "diphosphoryl transfer protein" // "DTP" // "EIIA-M-H<sup>fru</sup>" // "EIIA<sup>fru</sup>" // "Enzyme IIA<sup>fru</sup>" // "EIII<sup>fru</sup>" // "Enzyme III<sup>fru</sup>"	39.648
"G7724-MONOMER"	G7724-MONOMER	"YhfP" // "YhfO" // "FrlC"	31.169 // 30
"G7726-MONOMER"	G7726-MONOMER	"YhfQ" // "FrlD"	28.332 // 28
"G7723-MONOMER"	G7723-MONOMER	"YhfN" // "FrlB"	38.569 // 39
"YHFM-MONOMER"	YHFM-MONOMER	"YhfM" // "FrlA"	47.577
"GNTP-MONOMER"	GNTP-MONOMER	"YjiB" // "GntP"	47.138
"FUMA-MONOMER"	FUMA-MONOMER	"FumA"	60.299 // 61.5
"FUMB-MONOMER"	FUMB-MONOMER	"FumB"	60.105 // 61.0
"FUMC-MONOMER"	FUMC-MONOMER	"FumC"	50.489 // 50.0
"G6903-MONOMER"	G6903-MONOMER	"FumD" // "YdhZ"	7.907
"EG11162-MONOMER"	EG11162-MONOMER	"FumE" // "YggD" // "predicted DNA-binding transcriptional regulator"	19.272
"FUM-FLAVO"	FUM-FLAVO	"FrdA"	65.972 // 69.0
"FUM-FE-S"	FUM-FE-S	"FrdB"	27.123 // 27.0
"FUM-MEMB1"	FUM-MEMB1	"FrdC"	15.015
"FUM-MEMB2"	FUM-MEMB2	"FrdD"	13.107
"G6488-MONOMER"	G6488-MONOMER	"RlmK" // "YcbY" // "RlmL" // "RlmKL" // "ribosomal RNA large subunit methyltransferase L"	78.854
"EG10004-MONOMER"	EG10004-MONOMER	"Dfp" // "CoaBC"	43.438 // 45.0
"G7199-MONOMER"	G7199-MONOMER	"YfcK" // "MnmC" // "TrmC"	74.434 // 79
"ASPKINIHOMOSERDEHYDROGI-MONOMER"	ASPKINIHOMOSERDEHYDROGI-MONOMER	"ThrD" // "ThrA"	89.12
"ASPKINIIHOMOSERDEHYDROGII-MONOMER"	ASPKINIIHOMOSERDEHYDROGII-MONOMER	"MetM" // "MetL"	88.888
"CHORISMUTPREPHENDEHYDRAT-MONOMER"	CHORISMUTPREPHENDEHYDRAT-MONOMER	"PheA"	43.111 // 40.0
"CHORISMUTPREPHENDEHYDROG-MONOMER"	CHORISMUTPREPHENDEHYDROG-MONOMER	"TyrA"	42.042
"RIBOFLAVINSYNDEAM-MONOMER"	RIBOFLAVINSYNDEAM-MONOMER	"YbaE" // "RibG" // "RibD"	40.338 // 40
"PUTA-MONOMER"	PUTA-MONOMER	"PutC" // "PoaA" // "PutA" // "proline utilization A"	143.815 // 137.0
"GLNE-MONOMER"	GLNE-MONOMER	"GlnE"	108.418
"GSP-MONOMER"	GSP-MONOMER	"Gsp" // "Gss"	70.532 // 70
"G7590-MONOMER"	G7590-MONOMER	"HldE" // "YqiF" // "RfaE" // "GmhC" // "WaaE"	51.051 // 55
